Gene
AC233296.1
ADIPOR2
AKAP13
ARHGAP26
ASAP1
BCAS1
CACNB2
CARMIL1
CERCAM
CLIP1
CRIM1
CTNNA2
CTNNA3
CTNND2
CYTH1
DENND1A
DLX6-AS1
DNER
DOCK10
ENAH
EPHA6
FMN2
FRMD4B
GAD1
GREB1L
GRIK1
GRIN3A
HDAC2-AS2
KCNMA1
KIAA1324L
L3MBTL4
LANCL1
LHFPL6
LPAR1
LPGAT1
LRRC8D
MBP
MED12L
MTSS1
NAV3
NPAS2
NRCAM
NXPH1
PDGFD
PDZRN4
PHIP
PLEKHH1
PLPPR1
PLXNA2
PTBP2
RAP1A
RELN
RMST
RUNX2
RYBP
SFXN5
SHTN1
SILC1
SORBS1
SOX2-OT
SOX5
SPARCL1
SPOCK3
SRGAP2
ST18
TCF12
THSD7A
THSD7B
TIAM1
VRK2
ZEB2
ZNF536
ZNF804B
